name,date,time,location,cinema,seat,city,main_language,release_year,duration,genres,companion
All We Imagine as Light,12 Jan,19:20,House Samyan,5,B6,"Bangkok, TH",Malayalam,2024,1h 58m,Drama,family
Sing Sing,30 Jan,19:10,House Samyan,4,E7,"Bangkok, TH",English,2024,1h 45m,Drama,solo
A Real Pain,06 Feb,21:25,House Samyan,4,C7,"Bangkok, TH",English,2024,1h 29m,Comedy/Drama,solo
Flat Girls,16 Feb,19:50,House Samyan,3,C10,"Bangkok, TH",Thai,2025,2h 9m,Drama,family
Mickey 17,06 Mar,20:20,House Samyan,4,C5,"Bangkok, TH",English,2025,2h 17m,Sci-Fi/Comedy/Drama/Mystery & Thriller,solo
The Brutalist,09 Mar,19:45,House Samyan,5,E4,"Bangkok, TH",English,2025,3h 35m,Drama,family
You are the Apple of my eye,23 Mar,16:20,House Samyan,5,C6,"Bangkok, TH",Korean,2025,1h 42m,Romance/Drama,solo
How to Make Millions Before Grandma Dies,05 May,20:20,Kino Artis,,,"Tallinn, EE",Thai,2024,2h 5m,Drama/Comedy,solo
Thunderbolts*,13 May,20:45,Apollo Kino,,,"Tallinn, EE",English,2025,2h 6m,Action/Adventure/Crime/Drama,solo
Unreachable,12 Jun,20:00,House Samyan,5,C6,"Bangkok, TH",Japanese,2025,2h 6m,Drama,solo
At the Bench,14 Jun,16:20,House Samyan,5,C6,"Bangkok, TH",Japanese,2024,1h 26m,Drama,partner
The Phoenician Scheme,19 Jun,20:50,House Samyan,,,"Bangkok, TH",English,2025,1h 41m,Comedy/Drama/Mystery & Thriller/Action/Crime,solo
Superman,20 Jul,18:55,House Samyan,4,C7,"Bangkok, TH",English,2025,2h 9m,Action/Adventure/Sci-Fi/Fantasy,solo
The Book of Solutions,01 Aug,17:20,House Samyan,5,C6,"Bangkok, TH",French,2023,1h 42m,Comedy/Drama,solo
My Beloved Stranger,03 Aug,13:10,SF Cinema,,,"Bangkok, TH",Japanese,2025,2h 1m,Fantasy/Romance/Drama,partner
Materialists,06 Sep,16:45,House Samyan,4,E7,"Bangkok, TH",English,2025,1h 56m,Romance/Comedy/Drama,partner
A Useful Ghost,07 Sep,17:45,House Samyan,3,D8,"Bangkok, TH",Thai,2025,2h 10m,Comedy/Drama/Fantasy,family
"Sorry, Baby",11 Sep,21:25,House Samyan,4,C7,"Bangkok, TH",English,2025,1h 43m,Drama,solo
A Pale View of Hills,16 Oct,20:50,House Samyan,3,C9,"Bangkok, TH",Japanese,2025,2h 3m,Drama/History,solo
Marching Boys,26 Oct,18:30,House Samyan,3,C8,"Bangkok, TH",Mandarin,2025,1h 57m,Drama,family
100 Meters,19 Nov,18:10,SF Cinema,,,"Bangkok, TH",Japanese,2025,1h 42m,Drama/Anime/Sports,family
No Other Choice,07 Dec,15:30,House Samyan,4,E6,"Bangkok, TH",Korean,2025,2h 19m,Comedy/Mystery & Thriller/Crime/Drama,friend
Zootopia 2,11 Dec,20:35,House Samyan,5,B6,"Bangkok, TH",English,2025,1h 48m,Kids & Family/Comedy/Adventure/Animation,solo
Eternity,21 Dec,11:50,House Samyan,4,F6,"Bangkok, TH",English,2025,1h 54m,Romance/Comedy/Drama/Fantasy,family
F1 The Movie,26 Dec,13:45,House Samyan,3,E10,"Bangkok, TH",English,2025,2h 35m,Action/Drama/Sports,family
Sirat,26 Dec,19:05,House Samyan,3,F10,"Bangkok, TH",Spanish,2025,1h 55m,Drama,family
Eternity,31 Dec,19:00,Backyard Trang x Klang Khajee,,,"Trang, TH",Thai,2010,1h 45m,Romance/Drama,family
